name_SLR;name_Hunt;ra_SLR;ra_Hunt;dec_SLR;dec_Hunt;l_SLR;l_Hunt;b_SLR;b_Hunt;parallax_SLR;parallax_Hunt;pmra_SLR;pmra_Hunt;pmdec_SLR;pmdec_Hunt;nStars_SLR;n_stars_Hunt;r50_SLR;radius_50_pc_Hunt;dSun_SLR;distance_50_Hunt;X_SLR;x_Hunt;Y_SLR;y_Hunt;Z_SLR;z_Hunt;Age_SLR;log_age_50_Hunt;AV_SLR;a_v_50_Hunt;DM_SLR;distance_modulus_50_Hunt
S1691;UPK_185;346.44125650974496;346.4080225367666;49.377099721558;49.36749842367203;105.80688950953184;105.80407860252546;-9.926150899636443;-9.95322103786453;1.7999793067424903;1.789157914795554;2.6181327654554902;2.6459161999235667;-2.007106554917524;-1.9325103946901423;115;215;0.2299146564820247;2.1414525963742976;466.87;547.8095599315145;-125.26980397423212;-8269.164485680085;442.4910087461276;519.1685711455997;-80.47844612746862;-73.50844612399081;7.845098040014257;8.109924793243408;0.49;0.2652013301849365;8.75;8.629865169525146
S1280;COIN-Gaia_8;39.00585724070893;39.16495577807533;49.95614530644772;50.01007596993343;139.74833117458653;139.71053503821335;-9.410718623193212;-9.402489264755136;1.3760315698096923;1.3788709830313814;2.412043607961702;2.365471346989024;-2.536785823953321;-2.5270248391570087;64;193;0.3070328849019636;5.9953676171609525;635.7;709.0452577048453;-478.6452344741044;-8655.852062806372;405.2270343614136;452.3444846743839;-103.94363923724929;-93.66913070916284;8.511883360978874;8.245670318603516;0.48;0.3876400887966156;9.41;9.198248863220217
S1692;NGC_7063;321.14595751972973;321.117369510065;36.50347158583503;36.48890403445464;83.07254641356748;83.07720041041996;-9.896144602304252;-9.898094629509815;1.4942244322494227;1.4923727332993182;1.4786628213685125;1.533050907883357;-2.5670707679902125;-2.548263672668592;116;206;0.1868299106067877;2.0180340617151598;747.03;656.5982031365239;88.76053859216904;-8044.2989039536815;730.5424347053648;642.1091570143255;-128.38667681494726;-92.26506430936108;8.096910013008056;8.168743133544922;0.38;0.1332862824201584;9.68;8.991742610931396
SL752;CWNU_1173;179.0365107744647;179.92184488207715;-70.99567377937137;-70.28608802219718;298.45021057704184;298.5595174012018;-8.555319866022538;-7.8549056828472175;0.7569251850228145;2.243610475237773;-4.00550303295115;-13.031373541192318;-0.6252998601115909;-0.621721594801143;23;165;0.6586116827083089;10.676312696737044;656.75;435.73641967845424;309.39092141271595;-7915.76822963785;-571.0099387710912;-379.1256413441996;-97.70092155156566;-39.27842538696449;8.8750612633917;8.000537395477295;0.19;0.5027668476104736;9.24;8.140388011932373
SL753;UPK_55;296.62509991413015;296.6685491962616;10.411818616263403;10.432887288616584;48.68455156555465;48.61803939142553;-7.236310597879558;-7.25846936280401;1.259957161932319;1.2427753092526492;-1.4502456017676066;-1.4373249655748632;-6.918493255353309;-6.885299732169797;47;100;0.1971045296821792;4.122659272564015;696.74;783.7741639035546;456.3268853867282;-7608.246118493392;519.1436261661804;583.3677931201993;-87.76272947143909;-79.54078431232313;8.096910013008056;7.976849317550659;1.11;0.6783413290977478;10.15;9.414730072021484
S1693;NGC_6939;307.90815387360254;307.9014933036151;60.65547625366318;60.65130066391908;95.90671281695688;95.90160091614588;12.280478038082537;12.28778020072672;0.5277614481961312;0.5249059239090406;-1.8206885711793477;-1.8166556677972865;-5.466577085732352;-5.46238972527467;715;1175;0.179594449368657;2.898838498906171;1431.04;1819.7636892011592;-143.89725585154108;-8303.802079241532;1390.871214267038;1768.6504048915565;304.378591037103;408.5550114406656;9.352182518111363;9.021460056304932;1.22;1.3322872519493103;11.8;11.32181167602539
S1282;NGC_1901;79.15349327692363;79.28836879132454;-68.4521079897865;-68.44091363121285;279.0660454236416;279.0510377053331;-33.744304897167616;-33.70107208843246;2.398165812714523;2.366637007128695;1.7728402851899512;1.703100757931595;12.742853326948431;12.70100155536046;58;231;0.8219955165376057;6.125222458908572;383.62;416.3385931589156;50.26410271135134;-8068.07616788667;-315.004534232002;-342.0572029351255;-213.09614682556364;-210.34883970310733;9.0;8.451348304748535;0.05;0.1242383867502212;7.96;8.008046627044678
S1283;Alessi_24;261.0902319416861;260.97843601021725;-62.72978355833506;-62.81755799171893;329.0261686624834;328.92750240310176;-14.697200483446236;-14.72043065003799;2.0587244004885354;2.042101284757573;-0.4895260083698252;-0.4299683355241587;-8.926805438629058;-8.962548602991397;161;371;0.4701102371290217;3.4118350391730683;439.53;476.727214641289;364.523486993932;-7727.363294678915;-218.8012736862118;-237.97368141978205;-111.5134564215287;-101.34849833954226;7.845098040014257;7.998623132705688;0.08;0.1591576188802719;8.28;8.343727111816406
SL759;FSR_0827;91.06456912612798;91.07452755354674;31.610953750715947;31.607165321548678;179.71588033350517;179.72293506211582;4.821644711681176;4.828355124661743;0.5106980120334784;0.5013790685800945;-0.7697964139182149;-0.7583917212147909;-3.2831569536331755;-3.2883146150700244;42;139;0.0514405407819666;2.9543186804647745;1515.56;1826.7325408599652;-1510.178133698382;-9941.802630211;7.488768427970687;8.80360790510008;127.389310566877;179.21629300969056;8.845098040014257;8.64308500289917;0.93;0.9950130879878998;11.68;11.328429222106934
SL760;HSC_1542;93.37767911297894;93.71726047334968;15.93084146841572;15.55179116886922;194.46747712581535;194.9666225145287;-0.9115105512649128;-0.800772849360498;0.5745424408726707;7.087268052864548;-0.4869301020272012;0.8372711807732016;-0.9796036126011164;-10.585542106989738;53;175;0.0802328637462031;16.92836229916473;1535.91;152.98332971690783;-1487.017495846227;-8269.75754717783;-383.6684726848057;-39.50491008748413;-24.433546916600918;19.040147733974937;7.903089986991944;8.253586769104004;1.99;0.2829110771417618;12.6;5.877420902252197
